,date,time,comp,round,day,venue,opponent,formation,gf,ga,result,gls,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,team,year
42,2023-04-13,21:00,Europa Lg,Quarter-finals,Thu,Home,pt Sporting CP,3-4-3,1.0,0.0,W,1.0,9.0,2.0,22.2,0.11,0.5,23.1,0.0,0.0,Juventus,2022
43,2023-04-16,18:00,Serie A,Matchweek 30,Sun,Away,Sassuolo,3-5-2,0.0,1.0,L,0.0,13.0,3.0,23.1,0.0,0.0,11.4,0.0,0.0,Juventus,2022
44,2023-04-20,20:00,Europa Lg,Quarter-finals,Thu,Away,pt Sporting CP,4-3-3,1.0,1.0,D,1.0,8.0,1.0,12.5,0.13,1.0,14.7,0.0,0.0,Juventus,2022
45,2023-04-23,20:45,Serie A,Matchweek 31,Sun,Home,Napoli,4-4-1-1,0.0,1.0,L,0.0,7.0,4.0,57.1,0.0,0.0,23.5,0.0,0.0,Juventus,2022
46,2023-04-26,21:00,Coppa Italia,Semi-finals,Wed,Away,Inter,3-5-1-1,0.0,1.0,L,0.0,5.0,3.0,60.0,0.0,0.0,,0.0,0.0,Juventus,2022
47,2023-04-30,20:45,Serie A,Matchweek 32,Sun,Away,Bologna,4-3-3,1.0,1.0,D,1.0,13.0,4.0,30.8,0.08,0.25,19.6,0.0,1.0,Juventus,2022
48,2023-05-03,18:00,Serie A,Matchweek 33,Wed,Home,Lecce,3-5-1-1,2.0,1.0,W,2.0,16.0,4.0,25.0,0.13,0.5,17.6,0.0,0.0,Juventus,2022
49,2023-05-07,12:30,Serie A,Matchweek 34,Sun,Away,Atalanta,3-5-1-1,2.0,0.0,W,2.0,10.0,5.0,50.0,0.2,0.4,17.9,0.0,0.0,Juventus,2022
50,2023-05-11,21:00,Europa Lg,Semi-finals,Thu,Home,es Sevilla,3-5-1-1,1.0,1.0,D,1.0,11.0,2.0,18.2,0.09,0.5,14.4,0.0,0.0,Juventus,2022
51,2023-05-14,20:45,Serie A,Matchweek 35,Sun,Home,Cremonese,3-5-1-1,2.0,0.0,W,2.0,24.0,6.0,25.0,0.08,0.33,16.7,0.0,0.0,Juventus,2022
52,2023-05-18,21:00,Europa Lg,Semi-finals,Thu,Away,es Sevilla,,,,,,,,,,,,,,Juventus,2022
53,2023-05-22,20:45,Serie A,Matchweek 36,Mon,Away,Empoli,,,,,,,,,,,,,,Juventus,2022
54,2023-05-28,,Serie A,Matchweek 37,Sun,Home,Milan,,,,,,,,,,,,,,Juventus,2022
55,2023-06-04,,Serie A,Matchweek 38,Sun,Away,Udinese,,,,,,,,,,,,,,Juventus,2022
0,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Away,Lecce,3-5-2,2.0,1.0,W,2.0,19.0,9.0,47.4,0.11,0.22,17.6,0.0,0.0,Internazionale,2022
1,2022-08-20,20:45,Serie A,Matchweek 2,Sat,Home,Spezia,3-5-2,3.0,0.0,W,3.0,19.0,8.0,42.1,0.16,0.38,14.6,0.0,0.0,Internazionale,2022
2,2022-08-26,20:45,Serie A,Matchweek 3,Fri,Away,Lazio,3-5-2,1.0,3.0,L,1.0,19.0,7.0,36.8,0.05,0.14,16.3,0.0,0.0,Internazionale,2022
3,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Home,Cremonese,3-5-2,3.0,1.0,W,3.0,18.0,7.0,38.9,0.17,0.43,15.4,0.0,0.0,Internazionale,2022
4,2022-09-03,18:00,Serie A,Matchweek 5,Sat,Away,Milan,3-5-2,2.0,3.0,L,2.0,16.0,5.0,31.3,0.13,0.4,20.3,0.0,0.0,Internazionale,2022
5,2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,de Bayern Munich,3-5-2,0.0,2.0,L,0.0,9.0,2.0,22.2,0.0,0.0,13.5,0.0,0.0,Internazionale,2022
6,2022-09-10,18:00,Serie A,Matchweek 6,Sat,Home,Torino,3-5-2,1.0,0.0,W,1.0,16.0,3.0,18.8,0.06,0.33,19.5,0.0,0.0,Internazionale,2022
7,2022-09-13,18:45,Champions Lg,Group stage,Tue,Away,cz Viktoria Plzeň,3-5-2,2.0,0.0,W,2.0,19.0,8.0,42.1,0.11,0.25,15.1,0.0,0.0,Internazionale,2022
8,2022-09-18,12:30,Serie A,Matchweek 7,Sun,Away,Udinese,3-5-2,1.0,3.0,L,1.0,16.0,4.0,25.0,0.06,0.25,18.8,0.0,0.0,Internazionale,2022
9,2022-10-01,18:00,Serie A,Matchweek 8,Sat,Home,Roma,3-5-2,1.0,2.0,L,1.0,15.0,2.0,13.3,0.07,0.5,21.5,0.0,0.0,Internazionale,2022
10,2022-10-04,21:00,Champions Lg,Group stage,Tue,Home,es Barcelona,3-5-2,1.0,0.0,W,1.0,5.0,2.0,40.0,0.2,0.5,23.1,0.0,0.0,Internazionale,2022
11,2022-10-08,15:00,Serie A,Matchweek 9,Sat,Away,Sassuolo,3-5-2,2.0,1.0,W,2.0,16.0,4.0,25.0,0.13,0.5,15.9,0.0,0.0,Internazionale,2022
12,2022-10-12,21:00,Champions Lg,Group stage,Wed,Away,es Barcelona,3-5-2,3.0,3.0,D,3.0,11.0,8.0,72.7,0.27,0.38,12.9,0.0,0.0,Internazionale,2022
13,2022-10-16,12:30,Serie A,Matchweek 10,Sun,Home,Salernitana,3-5-2,2.0,0.0,W,2.0,16.0,6.0,37.5,0.13,0.33,14.4,0.0,0.0,Internazionale,2022
14,2022-10-22,20:45,Serie A,Matchweek 11,Sat,Away,Fiorentina,3-5-2,4.0,3.0,W,4.0,7.0,6.0,85.7,0.43,0.5,14.3,1.0,1.0,Internazionale,2022
15,2022-10-26,18:45,Champions Lg,Group stage,Wed,Home,cz Viktoria Plzeň,3-5-2,4.0,0.0,W,4.0,22.0,9.0,40.9,0.18,0.44,14.5,0.0,0.0,Internazionale,2022
16,2022-10-29,20:45,Serie A,Matchweek 12,Sat,Home,Sampdoria,3-5-2,3.0,0.0,W,3.0,17.0,8.0,47.1,0.18,0.38,14.4,0.0,0.0,Internazionale,2022
17,2022-11-01,21:00,Champions Lg,Group stage,Tue,Away,de Bayern Munich,3-5-2,0.0,2.0,L,0.0,7.0,4.0,57.1,0.0,0.0,16.1,0.0,0.0,Internazionale,2022
18,2022-11-06,20:45,Serie A,Matchweek 13,Sun,Away,Juventus,3-5-2,0.0,2.0,L,0.0,14.0,4.0,28.6,0.0,0.0,18.0,0.0,0.0,Internazionale,2022
19,2022-11-09,20:45,Serie A,Matchweek 14,Wed,Home,Bologna,3-5-2,6.0,1.0,W,6.0,12.0,6.0,50.0,0.42,0.83,14.6,1.0,1.0,Internazionale,2022
20,2022-11-13,12:30,Serie A,Matchweek 15,Sun,Away,Atalanta,3-5-2,3.0,2.0,W,2.0,14.0,3.0,21.4,0.14,0.67,15.8,0.0,0.0,Internazionale,2022
